회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member
1015762816,정상회원,분당구-삼평동,여,38,미신청,.,normal
1015902016,정상회원,수지구-동천동,여,48,미신청,.,normal
1015935424,정상회원,수지구-신봉동,여,36,미신청,.,normal
1015959552,정상회원,수지구-동천동,여,73,미신청,.,normal
1015985536,정상회원,수지구-상현동,여,61,미신청,.,normal
1016044928,정상회원,수지구-신봉동,여,52,미신청,.,normal
1016210112,정상회원,서울 강남구-기타,여,43,미신청,.,normal
1016492224,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1016655552,정상회원,수지구-풍덕천동,여,48,미신청,.,normal
1016726080,정상회원,수지구-동천동,여,52,미신청,.,normal
1016844864,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1016874560,정상회원,수지구-동천동,여,49,미신청,.,normal
1017073152,정상회원,수원 영통구-기타,여,60,미신청,.,normal
1017086144,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1017423936,정상회원,서울 강남구-기타,여,77,미신청,.,normal
1017498176,정상회원,수지구-풍덕천동,여,53,미신청,.,normal
1017553856,정상회원,수원 팔달구-기타,여,41,미신청,.,normal
101760768,정상회원,수지구-상현동,여,64,신청,.,normal
1017620672,정상회원,수지구-상현동,여,47,미신청,.,normal
1017633664,정상회원,수지구-상현동,여,53,미신청,.,normal
1017680064,정상회원,수지구-동천동,여,47,미신청,.,normal
1017685632,정상회원,수지구-동천동,여,58,미신청,.,normal
1017912064,정상회원,수지구-풍덕천동,여,40,미신청,.,normal
1017975168,정상회원,수지구-상현동,여,48,미신청,.,normal
1018008576,정상회원,수지구-풍덕천동,남,51,미신청,.,normal
1018218304,정상회원,기타-기타,여,63,미신청,.,normal
1018381632,정상회원,수지구-상현동,여,43,미신청,.,normal
1018557952,정상회원,기타-기타,여,45,미신청,.,normal
1018583936,정상회원,수지구-상현동,남,44,미신청,.,normal
1018615488,정상회원,수지구-신봉동,여,38,신청,.,normal
1018630336,정상회원,수지구-신봉동,여,39,미신청,.,normal
1018734272,탈퇴,수지구-동천동,여,51,미신청,.,normal
1018997824,정상회원,수지구-동천동,여,41,미신청,.,normal
1019151872,정상회원,수지구-동천동,여,42,미신청,수신,normal
1019185280,정상회원,수지구-상현동,여,43,미신청,.,normal
1019259520,정상회원,수지구-상현동,여,62,미신청,.,normal
1019318912,정상회원,기흥구-마북동,여,40,미신청,.,normal
1019435840,정상회원,수지구-동천동,여,58,미신청,.,normal
1019446976,정상회원,수지구-상현동,여,47,미신청,.,normal
101946368,정상회원,수지구-죽전동,여,46,미신청,.,normal
1019582464,정상회원,수지구-죽전동,여,50,미신청,.,normal
1019597312,정상회원,수지구-동천동,여,38,미신청,.,normal
1019647424,정상회원,수지구-동천동,여,54,미신청,수신,VIP
1019649280,정상회원,수지구-동천동,여,42,미신청,.,normal
1019884992,정상회원,수지구-풍덕천동,여,42,미신청,.,normal
1019894272,정상회원,광주-오포읍,여,36,미신청,.,normal
1020024192,정상회원,수지구-동천동,여,72,신청,.,normal
1020070592,정상회원,기타-기타,여,42,미신청,.,normal
1020172672,정상회원,수지구-동천동,여,48,미신청,.,normal
1020189376,정상회원,수지구-신봉동,여,48,미신청,.,normal
1020361984,정상회원,수지구-동천동,여,42,미신청,.,normal
1020373120,정상회원,수지구-풍덕천동,여,45,미신청,.,normal
1020384256,정상회원,기타-기타,여,40,미신청,.,normal
1020462208,정상회원,수지구-동천동,여,52,미신청,.,normal
